char_count,word_count,token_count
19576,3418,4255
27598,4653,5642
63321,10709,13700
21212,3647,5018
27095,4828,5707
16783,2974,3795
50186,8744,10825
18510,3269,3881
23498,4062,5147
64649,11350,13710
27194,4528,6345
8964,1537,1969
29360,5168,6450
12160,2182,2713
15611,2705,3284
24131,4207,5397
26352,4404,5478
10234,1814,2177
58443,10321,12554
26656,4593,5910
22717,3982,4885
24144,4046,4913
11420,1985,2407
12780,2268,2927
15278,2655,3615
25927,4572,5448
7957,1373,1685
17442,3085,3614
25640,4470,5805
38853,6549,7947
11062,1904,2334
13983,2422,2922
33676,5996,7278
23994,4186,5096
58903,10678,13580
25382,4421,5316
26423,4515,5623
13694,2392,3027
12092,2148,2576
4375,750,938
19833,3436,4327
19514,3279,3962
21714,3935,5216
24139,4195,5130
9666,1684,2025
18617,3278,3938
6728,1202,1468
40485,7115,8621
28020,4854,5774
22768,4001,4852
13651,2346,2945
71091,12402,15345
9766,1693,2072
14532,2525,3112
8452,1490,1860
19584,3511,4416
35544,6053,7591
15132,2664,3176
19666,3350,4005
13336,2336,2884
19551,3456,4372
15038,2579,3278
21006,3681,4573
28661,4993,6364
23410,4025,4818
37336,6877,8228
26798,4683,5932
23740,4109,5111
14510,2665,3096
52004,9117,10677
65420,11060,13333
4811,853,1016
15666,2759,3430
20863,3567,4484
29926,5290,6441
6149,1094,1335
17337,2917,3574
26176,4482,5822
39328,6987,8402
13520,2400,2960
20172,3548,4462
9337,1686,1947
18268,3206,3890
31196,5205,6253
8770,1555,1887
13566,2452,2982
53726,9270,11892
20065,3454,4178
11200,1985,2421
57003,9844,12520
13214,2389,2914
7629,1356,1623
16376,2932,3502
31486,5468,7051
10295,1823,2303
23513,4056,4982
16138,2724,3565
45318,7705,9340
22920,4161,4992
16501,2837,3700
19885,3395,4189
17088,3029,3599
16455,2955,3765
14855,2544,3189
10300,1753,2176
14823,2549,3384
64804,11386,14252
27955,4873,5969
102280,16144,22348
40760,7466,9277
25864,4551,5795
12329,2092,2577
26996,4716,5905
21859,3889,4676
10739,1832,2331
27396,4568,5874
8746,1495,1803
20361,3633,4291
10497,1885,2235
5783,1012,1286
12494,2233,2715
25523,4505,5416
6443,1132,1316
24520,4208,5123
16477,2875,3443
11681,2008,2427
62056,10446,13201
22522,3753,4663
11065,1859,2375
11415,1949,2305
4667,789,952
4705,821,974
30817,5518,7130
18159,3235,4135
51495,9123,10872
24550,4258,5208
8860,1505,1896
14347,2563,3188
24546,4309,5371
16025,2753,3326
8200,1433,1846
24338,4264,5053
45617,8065,9839
19579,3520,4290
11738,2088,2623
19734,3383,4098
11966,2111,2563
31099,5485,6592
24176,4153,4978
57709,10090,12047
68261,11693,15648
13221,2204,2697
39975,6817,8418
